OBJECTID,SAP_EQUIPMENT,ITEM_DESCRIPTION,ITEM_TYPE,SAP_FUNCTIONAL_LOCATION,PARK_NUMBER,PARK_NAME,SUBURB,POWER_TYPE,NUMBER_OF_PLATES,LONG,LAT,geo_shape,geo_point_2d
580,100457890,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1675-N003,D0659,MOVILLA STREET PARK,FERNY GROVE,MAINS POWER,2,152.9347423691569,-27.402549170326125,"{""coordinates"": [152.9347423691569, -27.402549170326125], ""type"": ""Point""}","-27.402549170326125, 152.9347423691569"
581,200471109,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1459-N001,D0383,MOOROOKA LIONS BICENT. PICNIC GRND PARK,YEERONGPILLY,MAINS POWER,2,153.020907219968,-27.526174575283036,"{""coordinates"": [153.020907219968, -27.526174575283036], ""type"": ""Point""}","-27.526174575283036, 153.020907219968"
582,200471222,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0037-N002,D0948,SOAMES STREET PARK,EVERTON PARK,MAINS POWER,1,152.9821394315784,-27.391109329093457,"{""coordinates"": [152.9821394315784, -27.391109329093457], ""type"": ""Point""}","-27.391109329093457, 152.9821394315784"
583,200472480,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0452-N001,D1534,BLISS STREET PARK (NO.39),GAYTHORNE,MAINS POWER,1,152.97828622309697,-27.422631011161677,"{""coordinates"": [152.97828622309697, -27.422631011161677], ""type"": ""Point""}","-27.422631011161677, 152.97828622309697"
584,200472641,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-2014-N005,D0311,NOSWORTHY PARK,CORINDA,MAINS POWER,2,152.9876190375597,-27.539568294390136,"{""coordinates"": [152.9876190375597, -27.539568294390136], ""type"": ""Point""}","-27.539568294390136, 152.9876190375597"
585,200473812,BBQ - GAS SINGLE,BARBEQUE,B-RE-1901-N042,D0249,MT COOT-THA RESERVE,MOUNT COOT-THA,BOTTLED GAS,1,152.94559742299478,-27.474568425488123,"{""coordinates"": [152.94559742299478, -27.474568425488123], ""type"": ""Point""}","-27.474568425488123, 152.94559742299478"
586,200474618,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1976-N003,D0172,ORIEL PARK,ASCOT,MAINS POWER,1,153.0579501763461,-27.429641343120696,"{""coordinates"": [153.0579501763461, -27.429641343120696], ""type"": ""Point""}","-27.429641343120696, 153.0579501763461"
587,200475234,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1477-N003,D0365,WILLIAMINA PARK,EAST BRISBANE,MAINS POWER,1,153.0454889769604,-27.4834282018634,"{""coordinates"": [153.0454889769604, -27.4834282018634], ""type"": ""Point""}","-27.4834282018634, 153.0454889769604"
588,200475881,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1632-N001,D0559,D.M.HENDERSON PARK,MACGREGOR,MAINS POWER,1,153.07171819329997,-27.569685975752858,"{""coordinates"": [153.07171819329997, -27.569685975752858], ""type"": ""Point""}","-27.569685975752858, 153.07171819329997"
589,200478281,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0014-N002,D0456,PLAISTED PLACE PARK,NORTHGATE,MAINS POWER,1,153.06116076700195,-27.39093870422115,"{""coordinates"": [153.06116076700195, -27.39093870422115], ""type"": ""Point""}","-27.39093870422115, 153.06116076700195"
590,200478787,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0417-N002,D1722,CONSTABLE MATTHEW ARNOLD MEMORIAL PARK,PARKINSON,MAINS POWER,1,153.02876411225748,-27.636524966038547,"{""coordinates"": [153.02876411225748, -27.636524966038547], ""type"": ""Point""}","-27.636524966038547, 153.02876411225748"
591,200478875,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1557-N009,D0680,KANGAROO POINT CLIFFS PARK,KANGAROO POINT,MAINS POWER,1,153.03369098521512,-27.47978927008248,"{""coordinates"": [153.03369098521512, -27.47978927008248], ""type"": ""Point""}","-27.47978927008248, 153.03369098521512"
592,200479071,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2471-N002,D0798,WENDON WAY PARK,BRIDGEMAN DOWNS,MAINS POWER,1,152.9852837896756,-27.361173431607973,"{""coordinates"": [152.9852837896756, -27.361173431607973], ""type"": ""Point""}","-27.361173431607973, 152.9852837896756"
